CustomerID,CustomerName,Email,City,Country,CustomerSegment,RegistrationDate
68,Ashley Hunt,marcusnelson@example.com,Kaduna,Nigeria,Occasional,2022-06-16
69,Jessica Anderson,nflores@example.com,Abuja,Nigeria,Discount Sensitive,2023-03-07
70,Judith Kelley,tony33@example.com,Ilorin,Nigeria,New,2023-01-30
71,Suzanne Jefferson,sara00@example.org,Warri,Nigeria,Occasional,2023-12-23
72,Kevin Shannon,eburke@example.net,Kano,Nigeria,Occasional,2022-06-28
73,Scott Rhodes,julie24@example.com,Ilorin,Nigeria,New,2024-02-24
74,Amanda Bennett,melissa42@example.org,Ibadan,Nigeria,Regular,2022-08-12
75,Sean Gray,jessicajohnson@example.org,Uyo,Nigeria,Occasional,2024-12-03
76,Zachary Barber,wrightjohn@example.com,Ilorin,Nigeria,Regular,2025-02-09
77,Michelle Erickson MD,sanchezcindy@example.net,Enugu,Nigeria,Occasional,2025-11-18
78,Jessica Ross,angelahuerta@example.net,Port Harcourt,Nigeria,New,2022-10-27
79,Amanda Fuentes,jonesmercedes@example.com,Akure,Nigeria,Discount Sensitive,2022-05-01
80,Kim Payne,ibaker@example.net,Uyo,Nigeria,Regular,2023-07-07
81,Susan Ryan,deanjuarez@example.com,Ado-Ekiti,Nigeria,Occasional,2024-11-30
82,Kevin Hayes,valeriesantos@example.net,Jos,Nigeria,New,2023-09-30
83,Douglas Schultz,jamesmurphy@example.net,Kano,Nigeria,Regular,2022-10-31
84,Jason Jackson,morganjenkins@example.org,Sokoto,Nigeria,High Value,2022-04-10
85,Emily Hall,marywhite@example.com,Owerri,Nigeria,Regular,2022-08-25
86,Gary Stokes,yjohnson@example.net,Calabar,Nigeria,High Value,2025-06-12
87,Michael Gibson,javiercox@example.org,Abuja,Nigeria,New,2025-04-13
88,Danny Shepherd,nicholas44@example.com,Enugu,Nigeria,Discount Sensitive,2025-05-20
89,Juan Jacobson,danielwyatt@example.com,Warri,Nigeria,Occasional,2024-01-19
90,Heidi James,dustin34@example.net,Sokoto,Nigeria,Occasional,2022-01-28
91,Joshua Wallace,molinamelissa@example.org,Jos,Nigeria,Regular,2024-09-13
92,Anthony Riley,mooreelizabeth@example.org,Sokoto,Nigeria,New,2024-05-15
93,Jeffery Dillon,susangonzalez@example.org,Sokoto,Nigeria,Regular,2024-07-15
94,Carmen Johnson,fshields@example.net,Kaduna,Nigeria,Occasional,2024-05-24
95,Christopher Brown,tiffany57@example.net,Onitsha,Nigeria,High Value,2022-12-27
96,Kimberly Shannon,jeffreymathis@example.com,Benin City,Nigeria,High Value,2024-07-02
97,Samuel Cole,nfernandez@example.org,Port Harcourt,Nigeria,Regular,2025-10-23
98,Tammy Hayes,stephensonryan@example.net,Uyo,Nigeria,Occasional,2023-01-13
99,Rachel Warner,fwillis@example.org,Owerri,Nigeria,Occasional,2023-01-02
100,Valerie Brown,michaelspencer@example.com,Ibadan,Nigeria,High Value,2022-09-05
101,Ashley Bolton,janet38@example.org,Sokoto,Nigeria,Regular,2024-07-19
102,Daniel Fuller,robert57@example.com,Kano,Nigeria,Regular,2022-05-07
103,Keith Underwood,rayhill@example.org,Sokoto,Nigeria,New,2024-05-27
104,Rebecca Brown,jesusjuarez@example.org,Lagos,Nigeria,Occasional,2024-11-19
105,Joshua Duffy Jr.,vcastro@example.org,Warri,Nigeria,Occasional,2023-03-12
106,Jessica Cooper,jamesday@example.org,Warri,Nigeria,Regular,2023-12-21
107,Kathleen Mitchell,linda64@example.net,Warri,Nigeria,High Value,2022-12-25
108,Brittany Martinez,alexandershelly@example.org,Uyo,Nigeria,Discount Sensitive,2024-06-14
109,John Burton,allison11@example.com,Ilorin,Nigeria,Occasional,2022-09-23
110,Megan Dillon,farrelllarry@example.net,Calabar,Nigeria,Regular,2024-03-25
111,Gregory Cabrera,echandler@example.org,Benin City,Nigeria,High Value,2024-04-10
112,Christopher Crosby,sonyaramirez@example.org,Warri,Nigeria,Occasional,2024-08-19
113,Eddie Watkins,ocummings@example.net,Akure,Nigeria,Regular,2025-08-11
114,Michael Johnson,mcdanieljohn@example.net,Ilorin,Nigeria,Regular,2024-10-27
115,David Austin,kristina73@example.com,Abeokuta,Nigeria,Occasional,2023-02-05
116,Sarah Foster,vargasanthony@example.com,Akure,Nigeria,Occasional,2022-11-06
117,Craig Mitchell,melissagibson@example.com,Lagos,Nigeria,Occasional,2023-09-24
118,Deborah Espinoza,vhall@example.org,Ibadan,Nigeria,Regular,2024-10-02
119,Christina Williams,ashleysmith@example.com,Port Harcourt,Nigeria,Occasional,2023-07-29
120,Kendra Melendez,ericdavies@example.org,Ibadan,Nigeria,Occasional,2023-02-08
121,Jennifer Rogers,jamesrussell@example.org,Jos,Nigeria,New,2024-10-17
122,Megan Valenzuela,natalie98@example.org,Uyo,Nigeria,High Value,2022-02-10
123,Kathryn Hernandez,jameshendrix@example.org,Uyo,Nigeria,Discount Sensitive,2025-05-07
124,Monica Dennis,dominguezjill@example.net,Ilorin,Nigeria,Discount Sensitive,2025-04-11
125,Andrew Lambert,larrydavis@example.com,Onitsha,Nigeria,High Value,2022-05-12
126,Rebecca Rodriguez,wilsonlevi@example.org,Akure,Nigeria,New,2025-01-03
127,Joshua Duncan,jeanknapp@example.org,Abuja,Nigeria,New,2024-03-13
128,Tyler Hood,cwest@example.com,Warri,Nigeria,Regular,2025-01-04
129,Mrs. Ashley Franco,knielsen@example.com,Akure,Nigeria,Regular,2025-01-22
130,Nichole Knight,ehenderson@example.org,Owerri,Nigeria,High Value,2023-07-03
131,Laurie Nelson,robert17@example.net,Akure,Nigeria,Occasional,2025-04-07
132,Clayton Tran,johnnychandler@example.net,Akure,Nigeria,Discount Sensitive,2025-02-04
133,Jesse Bailey,kaitlyngarcia@example.com,Abuja,Nigeria,Occasional,2024-10-17
134,Martin Perry,angela03@example.com,Akure,Nigeria,Regular,2023-02-28
135,Mrs. Joyce Blackwell MD,thompsoncrystal@example.net,Warri,Nigeria,Discount Sensitive,2022-11-21
136,Anthony Stevenson,obarnes@example.com,Enugu,Nigeria,Regular,2023-03-12
137,Jonathan Simon,juan83@example.com,Owerri,Nigeria,High Value,2023-04-10
138,Sarah Townsend,owalton@example.net,Lagos,Nigeria,High Value,2023-06-19
139,Crystal Morgan,bobby66@example.net,Enugu,Nigeria,High Value,2025-01-26
140,Jimmy Schroeder,cynthia80@example.org,Jos,Nigeria,High Value,2024-11-23
141,Sheila Leach,qhernandez@example.org,Osogbo,Nigeria,Occasional,2023-05-11
142,Timothy Clark,coxandrew@example.org,Port Harcourt,Nigeria,Occasional,2022-12-29
143,Dustin Daniels,kaylabaker@example.net,Benin City,Nigeria,High Value,2024-12-02
144,Cassidy Ali,marshallphyllis@example.org,Jos,Nigeria,Regular,2022-04-19
145,Kimberly Johnson,gonzaleselizabeth@example.net,Osogbo,Nigeria,Regular,2024-04-07
146,Elizabeth Weaver,aguilarcarol@example.com,Onitsha,Nigeria,Occasional,2023-01-14
147,Daniel Johnson,ashleysullivan@example.org,Lagos,Nigeria,Occasional,2024-05-15
148,Claudia Johnson,imoyer@example.com,Port Harcourt,Nigeria,Regular,2023-11-02
149,Tanner Fowler,karamclaughlin@example.com,Sokoto,Nigeria,Discount Sensitive,2022-04-13
150,Anthony Moran DVM,george92@example.net,Abuja,Nigeria,Occasional,2023-04-11
151,Allison Smith,fmahoney@example.com,Onitsha,Nigeria,Occasional,2024-01-05
152,Jessica Rodriguez,hilljasmine@example.org,Benin City,Nigeria,New,2024-11-17
153,Karen Chavez,gmann@example.org,Ado-Ekiti,Nigeria,Regular,2025-09-08
154,Cheryl Mora,clopez@example.net,Benin City,Nigeria,Occasional,2022-04-24
155,Jennifer Harris,kimtyler@example.org,Jos,Nigeria,Regular,2024-10-18
156,Dustin Pearson,rosejasmine@example.net,Uyo,Nigeria,New,2024-08-16
157,Ian Johnson,perrygary@example.org,Ibadan,Nigeria,Occasional,2022-01-10
158,Roberta Morgan,emily28@example.net,Akure,Nigeria,New,2023-04-04
159,Jason Herman,dtorres@example.org,Abeokuta,Nigeria,New,2022-07-23
160,Julian Branch,tracy32@example.net,Warri,Nigeria,High Value,2022-09-26
161,David Gordon,adamnichols@example.com,Osogbo,Nigeria,Discount Sensitive,2023-04-29
162,Pamela Clayton,hodgechelsea@example.com,Uyo,Nigeria,High Value,2022-12-07
163,Zachary Hicks,pzimmerman@example.com,Jos,Nigeria,Discount Sensitive,2024-06-09
164,Lisa Howard,jennaadams@example.org,Jos,Nigeria,New,2022-10-18
165,Michael Robinson,ellisonscott@example.net,Jos,Nigeria,Discount Sensitive,2022-08-03
166,Matthew Martin,carollee@example.net,Sokoto,Nigeria,Regular,2025-06-11
167,Bradley Gross,staciesimmons@example.net,Enugu,Nigeria,High Value,2024-02-05
168,Lori Jones,craig41@example.org,Kano,Nigeria,Regular,2023-03-08
169,Scott Davis,jspencer@example.com,Enugu,Nigeria,Occasional,2025-04-16
170,Shawn Rodriguez,samantha77@example.net,Lagos,Nigeria,Occasional,2025-04-02
171,April Williams,rwhite@example.com,Ibadan,Nigeria,New,2022-01-14
172,Joseph Ramos,tiffanyalvarez@example.org,Abuja,Nigeria,Occasional,2023-02-28
173,Gregory Ellis,qcole@example.org,Warri,Nigeria,Regular,2024-02-28
174,Jordan Mccarthy,fschroeder@example.org,Calabar,Nigeria,Discount Sensitive,2022-01-06
175,Christopher Johnson,shelbybrooks@example.com,Uyo,Nigeria,New,2024-09-13
176,Darlene Castillo,shelly07@example.net,Ilorin,Nigeria,Regular,2022-01-10
177,Danielle Zavala,richardbarnes@example.com,Calabar,Nigeria,Regular,2025-12-09
178,Daniel Ellis,patrickgardner@example.org,Kano,Nigeria,New,2023-06-22
179,Brandon Baker,castroscott@example.org,Ado-Ekiti,Nigeria,Occasional,2024-02-20
180,Lisa Brown,khardin@example.org,Abeokuta,Nigeria,Occasional,2025-06-01
181,Benjamin Mendoza,shahmary@example.net,Ado-Ekiti,Nigeria,Regular,2024-03-18
182,Ann Thompson,paulaarias@example.org,Kano,Nigeria,Occasional,2024-05-14
183,Patricia Green,johnsonjoseph@example.com,Ilorin,Nigeria,New,2025-10-30
184,Jennifer Gonzales,dickersonmanuel@example.com,Uyo,Nigeria,Occasional,2024-09-19
185,Matthew Hamilton,albertmorrison@example.net,Ilorin,Nigeria,High Value,2023-08-19
186,Crystal Price,nzamora@example.net,Jos,Nigeria,High Value,2023-08-29
187,Leslie Pearson,wjohnson@example.com,Kano,Nigeria,Occasional,2024-08-05
188,Tyler Tran,ecoleman@example.org,Kaduna,Nigeria,Regular,2023-02-07
189,Shannon Bell,danielle68@example.net,Port Harcourt,Nigeria,Discount Sensitive,2022-01-03
190,Jasmine Roberts,charles03@example.net,Enugu,Nigeria,New,2024-07-28
191,Jeffrey Combs,francisco46@example.net,Uyo,Nigeria,New,2024-08-24
192,Reginald Caldwell,rdelacruz@example.net,Owerri,Nigeria,New,2024-04-26
193,Michael Peters,xreid@example.org,Owerri,Nigeria,New,2023-03-30
194,Sara Castaneda,velazquezryan@example.org,Kaduna,Nigeria,High Value,2022-02-20
195,Elizabeth Roberts,pbrown@example.net,Osogbo,Nigeria,High Value,2022-10-07
196,David Matthews,zstevens@example.com,Abuja,Nigeria,Regular,2024-03-19
197,Cindy Sawyer,perkinsmegan@example.org,Enugu,Nigeria,Occasional,2022-02-17
198,Jessica Johnson,rodney84@example.net,Ibadan,Nigeria,High Value,2024-07-10
199,Jessica Wilcox,morankenneth@example.com,Enugu,Nigeria,Occasional,2022-09-29
200,Anthony Reid,jamesmcmillan@example.net,Osogbo,Nigeria,New,2023-06-23
201,Lori Rhodes,gsingleton@example.org,Kaduna,Nigeria,New,2025-12-12
202,Darrell Travis,julie32@example.org,Ado-Ekiti,Nigeria,Discount Sensitive,2023-05-15
203,Linda Castillo,beverlytaylor@example.net,Ilorin,Nigeria,Regular,2023-08-12
204,Richard Brown,adam98@example.net,Uyo,Nigeria,Regular,2025-02-24
205,Heather Miller,samantha63@example.org,Ilorin,Nigeria,Regular,2022-04-08
206,Andrea Gallegos,crystal51@example.net,Benin City,Nigeria,New,2023-06-26
207,Maria Bennett,ryanjohnson@example.net,Warri,Nigeria,Occasional,2023-12-09
208,Nicole Davis,nwhite@example.com,Osogbo,Nigeria,High Value,2023-02-23
209,Natalie Williams,tiffanyjackson@example.net,Benin City,Nigeria,Discount Sensitive,2025-12-07
210,Brittany Cox,frank86@example.com,Warri,Nigeria,Regular,2025-02-20
211,Morgan Cox,michael52@example.org,Benin City,Nigeria,New,2022-03-26
212,Paul Copeland,lucasgregory@example.com,Calabar,Nigeria,Discount Sensitive,2025-12-09
213,Cameron Kim DVM,solisjames@example.com,Warri,Nigeria,Occasional,2022-10-20
214,Dawn Butler,williamwilson@example.org,Jos,Nigeria,Occasional,2022-09-27
215,Lindsay Lopez,kcampbell@example.net,Calabar,Nigeria,New,2024-12-29
216,Patricia Castro,alexanderkimberly@example.org,Benin City,Nigeria,New,2023-07-07
217,Jesse Jacobs,vmiller@example.net,Abuja,Nigeria,Regular,2022-02-27
218,Amber Moyer,schwartzsharon@example.com,Abuja,Nigeria,Regular,2022-01-04
219,Jared Robbins,markgarcia@example.com,Jos,Nigeria,Occasional,2024-10-20
220,Lori Harvey,jaredtorres@example.org,Ado-Ekiti,Nigeria,New,2023-12-11
221,Caitlin Cuevas,eanderson@example.org,Ibadan,Nigeria,Regular,2023-11-18
222,Maxwell Chavez,nlynch@example.net,Ilorin,Nigeria,Regular,2023-02-18
223,Hayden Castillo,jenkinsdaniel@example.com,Calabar,Nigeria,Occasional,2022-11-10
224,Kimberly Harrell,halltimothy@example.org,Port Harcourt,Nigeria,Occasional,2025-04-21
225,Charles Friedman,bcarlson@example.com,Calabar,Nigeria,Discount Sensitive,2023-09-26
226,Joseph Smith,castroteresa@example.com,Enugu,Nigeria,Discount Sensitive,2025-08-30
227,Kathleen Meyer MD,xbrown@example.com,Sokoto,Nigeria,Occasional,2024-04-30
228,Roger Mueller,maryreyes@example.org,Akure,Nigeria,Regular,2022-06-19
229,Brian Flowers DVM,timothy60@example.net,Abeokuta,Nigeria,Discount Sensitive,2023-09-16
230,Timothy Collins,pmiller@example.net,Kano,Nigeria,New,2025-06-16
231,Christopher Castillo,josephbennett@example.org,Ilorin,Nigeria,Discount Sensitive,2022-04-19
232,Amy Davenport,michael37@example.com,Onitsha,Nigeria,Regular,2022-11-11
233,Carrie Johnson,bbenson@example.net,Lagos,Nigeria,Regular,2024-01-06
234,Hannah Brown,mhampton@example.com,Warri,Nigeria,Regular,2023-03-26
235,Melissa Jackson,lecarol@example.com,Ilorin,Nigeria,Occasional,2024-06-12
236,Amy Ray,zcole@example.org,Calabar,Nigeria,High Value,2025-07-18
237,Lisa Castillo,delgadopatrick@example.org,Uyo,Nigeria,High Value,2024-10-27
238,Dawn Bush,josephsummers@example.org,Jos,Nigeria,New,2023-06-18
239,Brandon Rivas,ngreen@example.com,Enugu,Nigeria,Regular,2025-04-11
240,Miss Rebecca Bailey MD,curtiskristopher@example.org,Owerri,Nigeria,Discount Sensitive,2022-01-25
241,Gary Jackson,gardnertony@example.net,Ibadan,Nigeria,Discount Sensitive,2025-01-02
242,Lisa Herrera,taylorbrian@example.com,Akure,Nigeria,Regular,2022-03-17
243,Fernando Page,jdouglas@example.com,Abuja,Nigeria,Occasional,2022-09-24
244,David Hoover,xgeorge@example.org,Owerri,Nigeria,Occasional,2023-05-09
245,Rebecca Dorsey,elizabeth88@example.net,Owerri,Nigeria,New,2022-07-17
246,Dawn Myers,phamjessica@example.net,Abuja,Nigeria,High Value,2025-07-16
247,Julia Reed,milestroy@example.com,Warri,Nigeria,High Value,2024-07-22
248,William Morrison,danawatson@example.org,Jos,Nigeria,Discount Sensitive,2022-05-10
249,Morgan Thompson,cgonzalez@example.net,Warri,Nigeria,New,2024-11-06
250,Catherine Rivera,warrencindy@example.com,Lagos,Nigeria,Discount Sensitive,2022-10-13
251,Jeffrey Ortega,hillashley@example.org,Kano,Nigeria,Discount Sensitive,2024-12-22
252,Brandon Moore,brittany69@example.org,Ilorin,Nigeria,Regular,2025-11-14
253,Kim Jarvis,robert01@example.net,Kano,Nigeria,Discount Sensitive,2022-04-02
254,Alyssa Chang,hcastillo@example.com,Enugu,Nigeria,Regular,2023-08-25
255,Joshua French,douglaswatkins@example.com,Uyo,Nigeria,Occasional,2024-07-15
256,Patrick Morris,cbrock@example.com,Ibadan,Nigeria,New,2025-06-28
257,Linda Rogers,npotts@example.org,Uyo,Nigeria,New,2024-08-15
258,John Smith,cmurphy@example.net,Ibadan,Nigeria,New,2023-07-15
259,Julia Wells,yangdebbie@example.org,Kano,Nigeria,Regular,2022-03-14
260,Austin Perez,djohnson@example.net,Akure,Nigeria,Occasional,2024-01-28
261,Nancy Scott,adamsariel@example.org,Warri,Nigeria,New,2023-10-08
262,Christian Martin,josephandrade@example.org,Kano,Nigeria,New,2025-10-15
263,Nicholas Daniels,olopez@example.org,Benin City,Nigeria,Regular,2024-01-05
264,Alex Massey,jbutler@example.org,Ado-Ekiti,Nigeria,Discount Sensitive,2025-10-29
265,Diane Orozco,qholmes@example.net,Osogbo,Nigeria,Occasional,2024-04-01
266,Scott Wood,ycox@example.com,Akure,Nigeria,High Value,2022-08-30
267,Dr. Sergio Roberts,hunterkaitlyn@example.org,Jos,Nigeria,Discount Sensitive,2022-05-01
268,Isabella Neal,xjohnson@example.org,Enugu,Nigeria,Regular,2024-09-15
269,Steven Martinez,john96@example.com,Owerri,Nigeria,Regular,2022-10-02
270,Michael Robbins,christinelopez@example.org,Akure,Nigeria,Regular,2023-09-12
271,Janet Smith,craigpowell@example.com,Benin City,Nigeria,Discount Sensitive,2024-10-06
272,Pamela Underwood,pettystefanie@example.net,Lagos,Nigeria,Occasional,2022-08-07
273,Ellen Chambers,michele20@example.net,Kano,Nigeria,High Value,2022-06-17
274,Robert Peterson,vjimenez@example.net,Osogbo,Nigeria,Occasional,2022-02-07
275,Timothy Diaz,loriwise@example.net,Jos,Nigeria,New,2023-04-11
276,Taylor Nichols,brettcombs@example.net,Ilorin,Nigeria,High Value,2024-01-12
277,Steven Sawyer,bradleyolson@example.com,Ilorin,Nigeria,High Value,2023-08-10
278,Ashley Williams,parkerdavid@example.net,Warri,Nigeria,Discount Sensitive,2022-05-17
279,Michelle Gay,yolandabrewer@example.net,Abuja,Nigeria,Discount Sensitive,2024-04-02
280,Melissa Singleton,eatonteresa@example.com,Abuja,Nigeria,High Value,2025-10-02
281,Sarah Byrd,davidneal@example.com,Benin City,Nigeria,Regular,2022-12-01
282,Cory Daniels,ericlogan@example.net,Ilorin,Nigeria,Discount Sensitive,2023-01-01
283,Cynthia Simpson,stevenslance@example.com,Uyo,Nigeria,Occasional,2022-03-10
284,Emily Gonzales,kelleyjose@example.net,Ilorin,Nigeria,New,2023-10-05
285,James Morgan,pclark@example.org,Jos,Nigeria,Regular,2022-08-18
286,Tracy Tran,imarks@example.net,Ado-Ekiti,Nigeria,Regular,2024-11-27
287,Christopher Garcia,lindatrevino@example.com,Kano,Nigeria,Regular,2024-04-17
288,Amber Avery,justinhoward@example.org,Akure,Nigeria,High Value,2024-01-12
289,Valerie Wang,cmorgan@example.com,Abeokuta,Nigeria,New,2022-05-10
290,Stephen Wagner,perezrichard@example.net,Ilorin,Nigeria,High Value,2023-07-06
291,Caleb Palmer,cummingsalicia@example.net,Sokoto,Nigeria,Regular,2024-03-28
292,Katherine Vazquez,eduardonielsen@example.org,Benin City,Nigeria,Discount Sensitive,2024-07-08
293,Joseph Wood,schmidtsonya@example.org,Osogbo,Nigeria,Occasional,2025-11-19
294,Glenn Davis PhD,jason71@example.com,Enugu,Nigeria,Regular,2022-10-16
295,Cindy Jones,andersonkatie@example.org,Abeokuta,Nigeria,High Value,2025-08-03
296,Andrew Williams,james74@example.com,Abeokuta,Nigeria,Regular,2023-12-18
297,Tanya Mora,rlivingston@example.com,Sokoto,Nigeria,New,2023-10-03
298,Kelsey Johnson,ann14@example.org,Jos,Nigeria,New,2025-11-08
299,Tanya Ruiz,steverhodes@example.com,Benin City,Nigeria,New,2023-02-15
300,Wayne Barrera,moodyjoanna@example.net,Lagos,Nigeria,Regular,2025-02-20
301,Tony Woodard,robertpham@example.com,Kaduna,Nigeria,Regular,2024-03-24
302,Dana Dominguez,copelandbrandy@example.com,Sokoto,Nigeria,Regular,2023-05-04
303,James Carroll,benjamin83@example.org,Lagos,Nigeria,Regular,2023-01-05
304,Christina Bryant,nicholas84@example.org,Onitsha,Nigeria,New,2025-08-26
305,Miguel Valdez,beardamy@example.net,Abeokuta,Nigeria,New,2025-02-18
306,Robin Williams,iferguson@example.net,Ibadan,Nigeria,High Value,2025-07-02
307,Kim Henderson,joshua65@example.net,Enugu,Nigeria,High Value,2025-01-24
308,Deborah Gray,nicholas78@example.org,Akure,Nigeria,Regular,2023-02-01
309,Stephen Morales Jr.,thompsonbonnie@example.org,Enugu,Nigeria,High Value,2025-07-27
310,Jonathan Mendez,mweber@example.org,Ibadan,Nigeria,Discount Sensitive,2025-09-26
311,Brandon Lewis,davenportcourtney@example.org,Uyo,Nigeria,Discount Sensitive,2025-02-05
312,David Rowe,matthewberry@example.com,Uyo,Nigeria,Regular,2023-12-11
313,Daniel Cooley,icole@example.org,Ibadan,Nigeria,Occasional,2024-01-26
314,Patricia Simpson,psimmons@example.com,Benin City,Nigeria,New,2025-09-24
315,Anthony Mitchell,cford@example.net,Port Harcourt,Nigeria,Regular,2023-05-09
316,Jennifer Ford,longmicheal@example.com,Uyo,Nigeria,Regular,2024-03-14
317,Diana Larsen,frobinson@example.com,Calabar,Nigeria,New,2025-08-21
318,Denise Gilbert,stevenbuck@example.com,Calabar,Nigeria,Occasional,2022-05-22
319,Tracey Burns,calebrogers@example.net,Ado-Ekiti,Nigeria,Discount Sensitive,2024-04-14
320,Dennis Rivera,escott@example.com,Warri,Nigeria,New,2022-07-23
